,cruise,lat,long,marker,color
523,TGT66,12.95,-110,diamond1,yellow
524,TGT66,12.95,-110,diamond1,yellow
525,TGT66,12.95,-110,diamond1,yellow
526,TGT66,12.95,-110,diamond1,yellow
527,TGT66,12.95,-110,diamond1,yellow
528,TGT66,12.95,-110,diamond1,yellow
529,TGT66,12.95,-110,diamond1,yellow
530,TGT66,12.95,-110,diamond1,yellow
531,TGT66,12.95,-110,diamond1,yellow
532,TGT66,12.95,-110,diamond1,yellow
533,TGT66,12.95,-110,diamond1,yellow
534,TGT66,12.95,-110,diamond1,yellow
535,TGT66,12.95,-110,diamond1,yellow
536,TGT66,12.95,-110,diamond1,yellow
537,TGT66,12.95,-110,diamond1,yellow
538,TGT66,14.002,-110,diamond1,yellow
539,TGT66,14.002,-110,diamond1,yellow
540,TGT66,14.002,-110,diamond1,yellow
541,TGT66,14.002,-110,diamond1,yellow
542,TGT66,14.002,-110,diamond1,yellow
543,TGT66,14.002,-110,diamond1,yellow
544,TGT66,14.002,-110,diamond1,yellow
545,TGT66,14.002,-110,diamond1,yellow
546,TGT66,14.002,-110,diamond1,yellow
547,TGT66,14.002,-110,diamond1,yellow
548,TGT66,14.002,-110,diamond1,yellow
549,TGT66,14.002,-110,diamond1,yellow
550,TGT66,14.002,-110,diamond1,yellow
551,TGT66,14.002,-110,diamond1,yellow
552,TGT66,14.002,-110,diamond1,yellow
553,TGT66,14.002,-110,diamond1,yellow
554,TGT66,14.002,-110,diamond1,yellow
555,TGT66,14.002,-110,diamond1,yellow
556,TGT66,14.002,-110,diamond1,yellow
557,TGT66,14.002,-110,diamond1,yellow
558,TGT66,14.002,-110,diamond1,yellow
559,TGT66,14.002,-110,diamond1,yellow
560,TGT66,14.002,-110,diamond1,yellow
561,TGT66,14.002,-110,diamond1,yellow
562,TGT66,14.002,-110,diamond1,yellow
563,TGT66,14.002,-110,diamond1,yellow
564,TGT66,15,-110,diamond1,yellow
565,TGT66,15,-110,diamond1,yellow
566,TGT66,15,-110,diamond1,yellow
567,TGT66,15,-110,diamond1,yellow
568,TGT66,15,-110,diamond1,yellow
569,TGT66,15,-110,diamond1,yellow
570,TGT66,15,-110,diamond1,yellow
571,TGT66,15,-110,diamond1,yellow
572,TGT66,15,-110,diamond1,yellow
573,TGT66,15,-110,diamond1,yellow
574,TGT66,15,-110,diamond1,yellow
575,TGT66,15,-110,diamond1,yellow
576,TGT66,15,-110,diamond1,yellow
577,TGT66,15,-110,diamond1,yellow
578,TGT66,15,-110,diamond1,yellow
579,TGT66,15,-110,diamond1,yellow
580,TGT66,15,-110,diamond1,yellow
581,TGT66,15,-110,diamond1,yellow
582,TGT66,15,-110,diamond1,yellow
583,TGT66,15,-110,diamond1,yellow
584,TGT66,15,-110,diamond1,yellow
585,TGT66,15,-110,diamond1,yellow
586,TGT66,15,-110,diamond1,yellow
587,TGT66,15,-110,diamond1,yellow
588,TGT66,15,-110,diamond1,yellow
589,TGT66,15,-110,diamond1,yellow
590,TGT66,15,-110,diamond1,yellow
591,TGT66,15,-110,diamond1,yellow
592,TGT66,16.006,-110,diamond1,yellow
593,TGT66,16.006,-110,diamond1,yellow
594,TGT66,16.006,-110,diamond1,yellow
595,TGT66,16.006,-110,diamond1,yellow
596,TGT66,16.006,-110,diamond1,yellow
597,TGT66,16.006,-110,diamond1,yellow
598,TGT66,16.006,-110,diamond1,yellow
599,TGT66,16.006,-110,diamond1,yellow
600,TGT66,16.006,-110,diamond1,yellow
601,TGT66,16.006,-110,diamond1,yellow
602,TGT66,16.006,-110,diamond1,yellow
603,TGT66,16.006,-110,diamond1,yellow
604,TGT66,16.006,-110,diamond1,yellow
605,TGT66,16.006,-110,diamond1,yellow
606,TGT66,16.006,-110,diamond1,yellow
607,TGT66,16.006,-110,diamond1,yellow
608,TGT66,16.006,-110,diamond1,yellow
609,TGT66,16.006,-110,diamond1,yellow
610,TGT66,16.006,-110,diamond1,yellow
611,TGT66,16.006,-110,diamond1,yellow
612,TGT66,16.006,-110,diamond1,yellow
613,TGT66,16.006,-110,diamond1,yellow
614,TGT66,16.006,-110,diamond1,yellow
615,TGT66,16.006,-110,diamond1,yellow
616,TGT66,16.006,-110,diamond1,yellow
617,TGT66,16.006,-110,diamond1,yellow
618,TGT66,17.007,-110,diamond1,yellow
619,TGT66,17.007,-110,diamond1,yellow
620,TGT66,17.007,-110,diamond1,yellow
621,TGT66,17.007,-110,diamond1,yellow
622,TGT66,17.007,-110,diamond1,yellow
623,TGT66,17.007,-110,diamond1,yellow
624,TGT66,17.007,-110,diamond1,yellow
625,TGT66,17.007,-110,diamond1,yellow
626,TGT66,17.007,-110,diamond1,yellow
627,TGT66,17.007,-110,diamond1,yellow
628,TGT66,17.007,-110,diamond1,yellow
629,TGT66,17.007,-110,diamond1,yellow
630,TGT66,17.007,-110,diamond1,yellow
631,TGT66,17.007,-110,diamond1,yellow
632,TGT66,17.007,-110,diamond1,yellow
633,TGT66,17.007,-110,diamond1,yellow
634,TGT66,17.007,-110,diamond1,yellow
635,TGT66,17.007,-110,diamond1,yellow
636,TGT66,17.007,-110,diamond1,yellow
637,TGT66,17.007,-110,diamond1,yellow
638,TGT66,17.007,-110,diamond1,yellow
639,TGT66,17.007,-110,diamond1,yellow
640,TGT66,17.007,-110,diamond1,yellow
641,TGT66,17.007,-110,diamond1,yellow
642,TGT66,18.001,-110,diamond1,yellow
643,TGT66,18.001,-110,diamond1,yellow
644,TGT66,18.001,-110,diamond1,yellow
645,TGT66,18.001,-110,diamond1,yellow
